IBHB - Carteira do Dia 10/09/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;638.998.597;2,918;
ALPA4;ALPARGATAS;PN      N1;2.406.249.929;3,486;
AZUL4;AZUL;PN  ATZ N2;3.716.306.505;3,010;
B3SA3;B3;ON      NM;1.579.998.036;3,867;
BRFS3;BRF SA;ON      NM;700.054.537;3,414;
BPAC11;BTGP BANCO;UNT     N2;490.695.567;3,475;
COGN3;COGNA ON;ON      NM;15.089.313.085;4,114;
CSAN3;COSAN;ON      NM;1.321.649.455;3,356;
CVCB3;CVC BRASIL;ON      NM;13.060.521.985;4,704;
CYRE3;CYRELA REALT;ON      NM;873.788.575;3,738;
EZTC3;EZTEC;ON      NM;1.356.107.740;3,703;
NTCO3;GRUPO NATURA;ON      NM;1.207.272.847;3,267;
HAPV3;HAPVIDA;ON      NM;5.543.939.773;4,964;
IGTI11;IGUATEMI S.A;UNT     N1;621.056.732;2,694;
IRBR3;IRBBRASIL RE;ON      NM;288.325.385;2,754;
RENT3;LOCALIZA;ON      NM;405.952.311;3,357;
LREN3;LOJAS RENNER;ON      NM;1.323.725.541;4,628;
LWSA3;LWSA;ON      NM;5.078.920.952;4,447;
MGLU3;MAGAZ LUIZA;ON      NM;2.186.264.754;5,012;
MRVE3;MRV;ON      NM;3.071.925.347;4,725;
PCAR3;P.ACUCAR-CBD;ON      NM;5.315.640.028;3,131;
PETR4;PETROBRAS;PN      N2;301.329.613;2,276;
CSNA3;SID NACIONAL;ON;1.428.281.923;3,260;
UGPA3;ULTRAPAR;ON      NM;530.511.146;2,511;
USIM5;USIMINAS;PNA     N1;2.000.340.799;2,325;
VBBR3;VIBRA;ON      NM;591.463.534;3,066;
VIVA3;VIVARA S.A.;ON      NM;647.705.920;3,543;
YDUQ3;YDUQS PART;ON      NM;2.224.229.331;4,255;
Quantidade Teórica Total;;;74.000.569.947;100,000
Redutor;;;230.987.738,21822500
