IDIV - Carteira do Dia 10/09/24
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;128.429.717;0,543;
AURE3;AUREN;ON      NM;507.086.801;1,034;
BRSR6;BANRISUL;PNB     N1;352.052.907;0,808;
BBSE3;BBSEGURIDADE;ON      NM;554.047.763;3,707;
BBDC3;BRADESCO;ON  EJ  N1;1.096.959.298;2,847;
BBDC4;BRADESCO;PN  EJ  N1;967.823.238;2,784;
BRAP4;BRADESPAR;PN      N1;436.239.898;1,472;
BBAS3;BRASIL;ON      NM;840.476.241;4,471;
AGRO3;BRASILAGRO;ON      NM;110.925.545;0,531;
CXSE3;CAIXA SEGURI;ON      NM;899.528.894;2,587;
CMIG3;CEMIG;ON      N1;815.229.841;2,199;
CMIG4;CEMIG;PN      N1;2.289.868.748;4,955;
CSMG3;COPASA;ON      NM;327.589.125;1,493;
CPFE3;CPFL ENERGIA;ON      NM;326.320.468;2,054;
CMIN3;CSNMINERACAO;ON      N2;1.930.396.559;2,083;
CURY3;CURY S/A;ON      NM;231.387.381;1,039;
DIRR3;DIRECIONAL;ON      NM;190.902.582;1,090;
EGIE3;ENGIE BRASIL;ON      NM;343.948.352;2,797;
FESA4;FERBASA;PN  EJ  N1;279.100.328;0,399;
FLRY3;FLEURY;ON      NM;807.265.301;2,452;
GGBR4;GERDAU;PN      N1;1.686.781.638;5,699;
GOAU4;GERDAU MET;PN      N1;1.149.967.505;2,249;
RANI3;IRANI;ON      NM;184.563.956;0,255;
ITSA4;ITAUSA;PN  EJ  N1;1.419.591.713;2,914;
JBSS3;JBS;ON      NM;420.927.143;2,606;
JHSF3;JHSF PART;ON  ED  NM;509.162.651;0,412;
KEPL3;KEPLER WEBER;ON      NM;306.289.002;0,623;
KLBN11;KLABIN S/A;UNT     N2;773.274.638;3,056;
LAVV3;LAVVI;ON      NM;128.541.599;0,199;
POMO4;MARCOPOLO;PN      N2;1.158.312.386;1,646;
LEVE3;METAL LEVE;ON      NM;91.892.527;0,517;
MTRE3;MITRE REALTY;ON      NM;99.401.713;0,068;
PETR3;PETROBRAS;ON      N2;594.029.632;4,522;
PETR4;PETROBRAS;PN      N2;723.741.231;5,017;
SAPR4;SANEPAR;PN      N2;1.751.177.224;1,960;
SANB11;SANTANDER BR;UNT;442.499.960;2,529;
STBP3;SANTOS BRP;ON      NM;1.392.881.944;3,485;
CSNA3;SID NACIONAL;ON;1.279.796.520;2,680;
TAEE11;TAESA;UNT     N2;379.919.694;2,475;
TASA4;TAURUS ARMAS;PN      N2;117.754.487;0,240;
TGMA3;TEGMA;ON      NM;55.625.439;0,280;
VIVT3;TELEF BRASIL;ON;291.241.380;2,882;
TIMS3;TIM;ON      NM;887.544.059;2,939;
TRPL4;TRAN PAULIST;PN      N1;595.353.081;2,702;
UNIP6;UNIPAR;PNB;88.841.113;0,774;
USIM5;USIMINAS;PNA     N1;895.519.166;0,955;
VALE3;VALE;ON      NM;466.502.073;4,829;
WIZC3;WIZ CO;ON      NM;130.982.587;0,142;
Quantidade Teórica Total;;;31.457.695.048;100,000
Redutor;;;57.242.294,92069876
