TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;10,39;;-4,68;1,21;0,45;30,10;1,60;-22,81;66,62;107,53;40,90;0,75;1,07;-5,51;-0,58;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;1.136.011,48;8,58;-2,22;-0,05;1.232.611.142,72
ABCB4;20,51;5,99;5,79;0,84;0,08;31,62;25,25;19,35;4,44;4,44;;;1,12;3,68;-0,09;1,50;14,50;1,45;;0,10;0,90;0,07;18,70;12,95;10.849.236,30;23,98;3,48;0,40;4.553.454.976,52
ABEV3;13,41;5,63;14,14;2,36;1,55;50,30;22,59;18,29;11,45;10,70;-0,75;-0,15;2,59;57,54;-2,13;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;318.631.530,48;5,73;0,96;0,93;213.306.902.665,36
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,83;;-6,68;0,85;0,22;13,03;9,37;-3,59;2,56;5,94;3,38;1,11;0,24;0,94;-0,58;1,63;-12,65;-3,35;9,83;0,27;0,73;0,93;;;3.717.241,04;1,10;-0,14;0,00;712.578.514,08
AESB3;10,21;;38,79;1,37;0,31;35,54;28,78;4,90;6,61;16,57;9,96;2,06;1,90;18,74;-0,37;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;24.572.139,52;7,43;0,26;-0,57;6.121.600.752,87
AFLT3;7,53;3,49;15,50;1,82;1,52;57,31;45,58;44,72;15,21;14,83;-0,38;-0,05;6,93;15,57;-1,89;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;12.461,67;4,15;0,49;-0,21;475.027.791,00
AGRO3;24,28;13,47;9,55;1,11;0,70;30,65;20,17;20,86;9,87;11,73;1,85;0,21;1,99;3,41;-1,13;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;20.122.359,78;21,40;2,50;-0,22;2.449.000.139,40
AGXY3;3,91;1,03;-3,34;0,62;0,07;12,38;3,90;-1,77;1,52;3,66;2,15;0,88;0,06;1,34;-0,36;1,08;-18,62;-2,24;13,29;0,12;0,88;1,27;;;208.235,11;6,18;-1,15;0,00;655.967.957,76
AHEB3;16,00;;1,82;15,94;0,37;35,19;21,45;15,93;1,36;1,03;-0,32;-3,79;0,29;2,79;-0,64;1,46;873,55;20,39;683,71;0,02;0,98;1,28;20,77;;5.390,00;1,00;8,77;0,00;136.782.554,03
